Periodo,nom_aglomerado,Nivel_Educativo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2019-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,15.32,13.62,11.12,469946.71
2019-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,68.33,61.66,9.77,731180.05
2019-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.15,31.7,16.91,521769.2
2019-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.09,1.09,0.0,696870.93
2019-T1,Gran Tucumán - Tafí Viejo,Superior Completa,74.68,72.94,2.32,1313720.19
2019-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,55.3,47.46,14.18,810395.91
2019-T2,Gran Salta,Primaria Completa,50.76,43.04,15.22,494886.99
2019-T2,Gran Salta,Primaria Incompleta,11.49,10.48,8.8,429436.52
2019-T2,Gran Salta,Secundaria Completa,74.53,66.23,11.14,687237.88
2019-T2,Gran Salta,Secundaria Incompleta,43.56,35.44,18.63,465194.9
2019-T2,Gran Salta,Sin Instrucción,0.36,0.36,0.0,89593.08
2019-T2,Gran Salta,Superior Completa,81.22,76.5,5.82,1501666.67
2019-T2,Gran Salta,Superior Incompleta,64.0,54.78,14.4,688882.04
2019-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,59.44,55.88,5.99,537240.7
2019-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,14.77,12.46,15.63,431820.75
2019-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,71.33,63.48,11.0,729619.49
2019-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.9,34.0,14.79,502324.91
2019-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.48,1.14,22.72,650188.5
2019-T2,Gran Tucumán - Tafí Viejo,Superior Completa,79.86,73.08,8.49,1297516.62
2019-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,56.71,49.26,13.12,772388.3
2019-T3,Gran Salta,Primaria Completa,55.62,51.3,7.77,406035.66
2019-T3,Gran Salta,Primaria Incompleta,8.93,7.87,11.85,307348.45
2019-T3,Gran Salta,Secundaria Completa,73.86,67.28,8.9,648753.57
2019-T3,Gran Salta,Secundaria Incompleta,43.98,38.49,12.49,485763.75
2019-T3,Gran Salta,Sin Instrucción,0.0,0.0,0.0,0.0
2019-T3,Gran Salta,Superior Completa,82.69,80.39,2.77,1384435.99
2019-T3,Gran Salta,Superior Incompleta,61.71,54.82,11.17,701305.41
2019-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,56.81,49.92,12.13,519250.76
2019-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,15.58,13.95,10.42,361403.25
2019-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,74.35,66.87,10.06,777373.24
2019-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.96,34.32,11.92,485744.46
2019-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.54,1.54,0.0,418986.71
2019-T3,Gran Tucumán - Tafí Viejo,Superior Completa,79.89,74.07,7.29,1291639.59
2019-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,59.86,49.8,16.81,744233.28
2019-T4,Gran Salta,Primaria Completa,53.86,48.98,9.06,404245.38
2019-T4,Gran Salta,Primaria Incompleta,6.98,6.01,13.89,440820.48
2019-T4,Gran Salta,Secundaria Completa,74.16,66.8,9.93,659189.48
2019-T4,Gran Salta,Secundaria Incompleta,45.94,38.57,16.03,431324.68
2019-T4,Gran Salta,Sin Instrucción,0.34,0.34,0.0,0.0
2019-T4,Gran Salta,Superior Completa,78.67,74.89,4.81,1346041.98
2019-T4,Gran Salta,Superior Incompleta,65.19,58.37,10.46,688916.73
2019-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,47.7,44.37,6.97,526330.73
2019-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,14.86,11.47,22.8,398760.6
2019-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,70.52,63.91,9.37,740570.07
2019-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.21,34.39,12.3,509258.55
2019-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,2.12,2.12,0.0,228420.59
2019-T4,Gran Tucumán - Tafí Viejo,Superior Completa,79.17,74.81,5.52,1288641.38
2019-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,59.65,52.26,12.39,804778.83
2020-T1,Gran Salta,Primaria Completa,51.73,46.22,10.65,441046.13
2020-T1,Gran Salta,Primaria Incompleta,9.68,8.19,15.33,362802.48
2020-T1,Gran Salta,Secundaria Completa,73.92,65.15,11.88,692810.18
2020-T1,Gran Salta,Secundaria Incompleta,43.77,39.01,10.88,437701.34
2020-T1,Gran Salta,Sin Instrucción,2.85,2.85,0.0,278992.74
2020-T1,Gran Salta,Superior Completa,76.38,71.89,5.87,1357363.57
2020-T1,Gran Salta,Superior Incompleta,60.58,52.85,12.75,620372.8
2020-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,52.9,44.85,15.21,470698.87
2020-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,10.83,9.2,15.07,503419.49
2020-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,72.13,62.76,12.99,689302.93
2020-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.26,31.93,18.68,545529.42
2020-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.95,1.95,0.0,1324668.54
2020-T1,Gran Tucumán - Tafí Viejo,Superior Completa,80.57,76.27,5.33,1245643.83
2020-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,50.84,43.17,15.08,685477.31
2020-T2,Gran Salta,Primaria Completa,40.2,31.01,22.85,380192.9
2020-T2,Gran Salta,Primaria Incompleta,5.27,5.27,0.0,344026.06
2020-T2,Gran Salta,Secundaria Completa,58.51,50.63,13.46,684820.59
2020-T2,Gran Salta,Secundaria Incompleta,34.04,27.41,19.48,482926.41
2020-T2,Gran Salta,Sin Instrucción,1.18,0.76,35.43,62253.49
2020-T2,Gran Salta,Superior Completa,73.78,68.56,7.07,1182717.63
2020-T2,Gran Salta,Superior Incompleta,55.74,47.15,15.41,806311.83
2020-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,42.8,37.94,11.34,500769.55
2020-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,4.09,3.06,25.28,239684.48
2020-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,54.61,48.72,10.79,644921.09
2020-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,23.23,20.94,9.85,523495.23
2020-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.0,0.0,0.0,0.0
2020-T2,Gran Tucumán - Tafí Viejo,Superior Completa,69.52,61.39,11.69,1649901.19
2020-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,41.11,37.55,8.66,819458.53
2020-T3,Gran Salta,Primaria Completa,43.18,42.05,2.62,437171.54
2020-T3,Gran Salta,Primaria Incompleta,7.66,7.1,7.35,368246.22
2020-T3,Gran Salta,Secundaria Completa,65.78,56.41,14.24,694076.18
2020-T3,Gran Salta,Secundaria Incompleta,42.15,36.8,12.68,442065.41
2020-T3,Gran Salta,Sin Instrucción,1.59,1.59,0.0,327117.28
2020-T3,Gran Salta,Superior Completa,81.74,76.84,5.99,1256488.22
2020-T3,Gran Salta,Superior Incompleta,58.45,49.68,15.0,706219.09
2020-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,43.25,38.34,11.35,411814.84
2020-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,9.7,8.72,10.09,311819.54
2020-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,61.48,51.81,15.74,537297.97
2020-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,35.03,28.76,17.91,403651.97
2020-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,3.69,3.69,0.0,810297.52
2020-T3,Gran Tucumán - Tafí Viejo,Superior Completa,67.93,66.93,1.47,1142826.67
2020-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,48.96,42.2,13.8,718715.63
2020-T4,Gran Salta,Primaria Completa,52.32,47.47,9.27,430944.55
2020-T4,Gran Salta,Primaria Incompleta,8.43,7.32,13.21,362101.67
2020-T4,Gran Salta,Secundaria Completa,67.08,62.02,7.54,657529.73
2020-T4,Gran Salta,Secundaria Incompleta,42.02,37.09,11.74,414508.4
2020-T4,Gran Salta,Sin Instrucción,0.29,0.29,0.0,316952.08
2020-T4,Gran Salta,Superior Completa,77.81,72.01,7.45,1320674.23
2020-T4,Gran Salta,Superior Incompleta,55.74,50.36,9.66,800258.36
2020-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,52.59,47.14,10.38,503577.74
2020-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,11.51,8.78,23.72,386490.64
2020-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,60.24,54.92,8.84,702810.33
2020-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,37.6,31.16,17.12,479275.01
2020-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,2.25,2.25,0.0,68882.57
2020-T4,Gran Tucumán - Tafí Viejo,Superior Completa,75.64,72.91,3.61,1241550.87
2020-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,49.3,45.14,8.44,623046.4
2021-T1,Gran Salta,Primaria Completa,53.1,48.67,8.34,487862.28
2021-T1,Gran Salta,Primaria Incompleta,7.81,6.49,16.82,389736.58
2021-T1,Gran Salta,Secundaria Completa,71.26,63.06,11.51,604662.58
2021-T1,Gran Salta,Secundaria Incompleta,41.52,36.51,12.06,457307.41
2021-T1,Gran Salta,Sin Instrucción,1.89,1.89,0.0,250273.69
2021-T1,Gran Salta,Superior Completa,81.77,75.41,7.77,1260074.32
2021-T1,Gran Salta,Superior Incompleta,64.5,57.32,11.14,660032.74
2021-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,54.04,49.59,8.25,477531.06
2021-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,8.4,6.49,22.82,389467.33
2021-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,65.91,54.26,17.67,663307.79
2021-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,37.36,29.31,21.54,488357.39
2021-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,2.98,2.48,16.8,156840.46
2021-T1,Gran Tucumán - Tafí Viejo,Superior Completa,75.61,67.48,10.76,1200614.09
2021-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,58.51,50.36,13.93,656403.09
2021-T2,Gran Salta,Primaria Completa,53.62,49.77,7.16,423495.5
2021-T2,Gran Salta,Primaria Incompleta,5.93,5.28,10.92,265793.74
2021-T2,Gran Salta,Secundaria Completa,74.92,66.16,11.7,584886.36
2021-T2,Gran Salta,Secundaria Incompleta,44.0,37.74,14.23,445924.45
2021-T2,Gran Salta,Sin Instrucción,1.12,0.31,72.42,419561.43
2021-T2,Gran Salta,Superior Completa,79.3,75.65,4.6,1175357.89
2021-T2,Gran Salta,Superior Incompleta,60.15,53.31,11.36,621764.45
2021-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,49.69,45.0,9.44,487915.61
2021-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,14.51,11.82,18.55,328383.57
2021-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,69.1,58.74,15.0,631322.35
2021-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,35.23,30.91,12.26,473876.56
2021-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.41,1.41,0.0,1375119.23
2021-T2,Gran Tucumán - Tafí Viejo,Superior Completa,69.13,63.87,7.6,1229090.98
2021-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,53.51,44.33,17.17,622802.83
2021-T3,Gran Salta,Primaria Completa,48.12,45.4,5.65,376736.46
2021-T3,Gran Salta,Primaria Incompleta,6.01,5.59,6.93,388449.57
2021-T3,Gran Salta,Secundaria Completa,72.24,67.21,6.95,585405.65
2021-T3,Gran Salta,Secundaria Incompleta,41.48,36.47,12.06,433814.69
2021-T3,Gran Salta,Sin Instrucción,1.87,1.87,0.0,352859.57
2021-T3,Gran Salta,Superior Completa,80.5,77.21,4.09,1253671.49
2021-T3,Gran Salta,Superior Incompleta,55.49,52.56,5.29,632176.48
2021-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,52.08,47.65,8.51,505257.71
2021-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.59,11.04,12.25,403842.63
2021-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,64.52,56.91,11.79,702558.31
2021-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,34.93,29.44,15.71,454197.25
2021-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.92,1.92,0.0,707183.71
2021-T3,Gran Tucumán - Tafí Viejo,Superior Completa,74.87,71.99,3.84,956832.95
2021-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,52.79,48.24,8.63,620337.11
